State,Total_Vehicle,EV_Percent,PHEV_Percent,HEV_Percent,Gasoline_Percent
Alabama,4835900,0.27,0.12,1.31,84.83
Alaska,559800,0.48,0.16,1.89,81.15
Arizona,6529000,1.38,0.39,2.69,83.76
Arkansas,2708300,0.26,0.12,1.37,82.93
California,36850300,3.41,1.11,4.62,84.64
Colorado,5441800,1.66,0.69,2.81,82.85
Connecticut,2945700,1.07,0.62,2.56,88.69
Delaware,914700,0.92,0.42,2.5,86.51
Florida,18583200,1.37,0.31,2.23,86.83
Georgia,9642400,0.96,0.24,1.82,85.63
Hawaii,1080100,2.37,0.68,3.37,88.05
Idaho,1974600,0.43,0.23,2.21,79.44
Illinois,10043200,0.99,0.33,2.84,85.23
Indiana,6172100,0.42,0.21,1.93,83.7
Iowa,3153300,0.29,0.19,1.81,80.72
Kansas,2621100,0.43,0.21,1.92,82.74
Kentucky,4039700,0.29,0.14,1.66,84.54
Louisiana,3774200,0.22,0.11,1.07,83.27
Maine,1236000,0.6,0.61,2.72,83.83
Maryland,5060000,1.42,0.62,3.33,85.53
Massachusetts,5491100,1.34,0.8,3.41,87.26
Michigan,8525400,0.59,0.34,1.74,83.63
Minnesota,5118500,0.72,0.31,2.43,82.43
Mississippi,2723300,0.13,0.07,1.04,83.56
Missouri,5626000,0.48,0.25,2.02,81.92
Montana,1021700,0.45,0.24,2.07,76.41
Nebraska,1971200,0.35,0.19,1.65,81.19
Nevada,2556100,1.85,0.41,2.72,84.87
New Hampshire,1383700,0.72,0.48,2.66,85.66
New Jersey,7324100,1.84,0.56,2.38,87.83
New Mexico,1952400,0.53,0.25,2.27,81.83
New York,11318600,1.16,0.82,2.77,87.52
North Carolina,9085500,0.77,0.26,2.32,85.45
North Dakota,797400,0.13,0.1,1.03,78.42
Ohio,10317300,0.49,0.23,1.94,86.08
Oklahoma,4287900,0.53,0.77,1.32,83.2
Oregon,3832700,1.68,0.75,4.09,80.21
Pennsylvania,10211000,0.69,0.38,2.4,87.03
Rhode Island,877600,0.73,0.58,2.52,89.11
South Carolina,5042400,0.41,0.18,1.65,85.77
South Dakota,918000,0.19,0.14,1.3,78.25
Tennessee,6538800,0.51,0.17,1.73,85.96
Texas,25796600,0.89,0.21,1.73,82.93
Utah,3076200,1.3,0.42,2.7,81.26
Vermont,593100,1.32,0.96,3.42,83.63
Virginia,7723500,1.1,0.35,2.97,86.36
Washington,7128200,2.25,0.63,4.56,82.01
West Virginia,1510900,0.19,0.12,1.48,84.82
Wisconsin,5529000,0.45,0.23,2.24,83.28
Wyoming,652900,0.17,0.12,1.29,74.91
